"","b10","b11","b12","b13","b14","b15"
"ash",118.122367138843,0.0616581823025483,0.919151118449015,-0.0120014797790702,-0.0273977206686501,0.0130231803902966
"aspen",93.4122056559413,0.0882552878116714,0.966502623544412,-0.0521369747434254,-0.0353839106523458,0.0404346271805406
"basswood",102.074636649604,0.0763447260788482,0.894497354502981,-0.0556187309671803,-0.031926149711929,0.106980601259126
"beech",81.5364274972823,0.0987593436582144,0.931744065296976,0.0229277192775457,-0.0685790226784462,0.0282656814884365
"black cherry",168.145459386043,0.0191748463660109,0.781615963519043,-0.0324656727239755,-0.0129751525262961,0.0145975917889818
"butternut",68.8556195117522,0.323492841769645,-3.13348899648137,0.711287972359474,-1.24904366192028,2.58429165215007
"cedar",64.6730983303475,0.104528413753361,1.32455447502546,-0.0635102305483794,-0.0321758074001231,0.0333349186929738
"cottonwood",2078.423449723,0.000255803573728746,0.656490133019189,-0.0142638572127709,-0.00515566298312832,0.00514417976472802
"elm",364.672684632924,0.00339436745759303,0.541186669231058,-0.00983070158237169,-0.00823643695595341,0.026582896913097
"fir",115.531785509445,0.0512454468956162,0.830205270109234,-0.0234359258345217,-0.0165045987041595,0.0564175787556461
"hard maple",84.605705281857,0.114975273508744,0.70174085764853,0.0214102207756273,-0.0596354525272634,0.0814733867062686
"hemlock",139.067994080712,0.0312828622912349,0.751488427528001,-0.0343225553132361,-0.0118546712631095,0.0761611022040873
"hickory",84.8926283189045,0.156831798258124,1.37480912224226,-0.182883235707261,0.0288515630618163,0.132594500349539
"hophornbeam",58.2714814181294,0.195493798788361,0.849941120496654,-0.00210592983322275,-0.0602044721209212,0.0781986868221179
"norway spruce",1007.47381012587,0.00260979785626232,0.737765476019469,-0.0136946152221832,-0.00767470590017831,0.0398601364727785
"other hardwood",672.679464305076,0.000284675717611114,0.47526881826019,-0.00811157364750544,-0.00325796029027247,0.00743038905737849
"other softwood",2277.56903937696,0.000492905736796323,0.742034121619834,-0.0282223026331656,-0.00584501201177561,0.0367767021648426
"paper birch",80.4978793339204,0.0903662860438357,0.708347772393628,0.0512737323551397,-0.0516727209133798,-0.00573196531055754
"red oak",81.2165896146001,0.121518304148158,0.355834870906736,-0.0231448152006276,-0.0405335362221485,0.208333530164618
"red pine",113.273613679094,0.0784609074336643,1.06730892984149,-0.150842208866279,-0.0840736904891658,0.362876635048178
"scots pine",77.3857286293623,0.105113365857767,2.37464225364117,-0.287892803891867,-0.0806886053440596,0.0837488113283114
"soft maple",89.4553729349896,0.0821909057228259,0.861509011407893,-0.0140149612429401,-0.0473593337279395,0.0302234849600846
"spruce",119.348575802004,0.0534383191710548,0.660945206985329,-0.0176033505216662,-0.0211210578183565,0.116629295622434
"striped maple",106.033206560968,0.0220015806555788,0.559254290514548,-0.0162601514665592,-0.00110111421710384,0.00376011813807764
"tamarack",105.480343743233,0.0745354235450788,1.10381454131394,-0.101615068286506,-0.0425720197663708,0.0952888089596327
"white oak",82.811301735105,0.0978678967505562,0.586443130627879,-0.0146060918585982,-0.0756612232737517,0.197046308600848
"white pine",1471.90295508405,0.000968133541830297,0.617948053738306,-0.00487390966708749,-0.00699525848103624,0.0411475457639309
"yellow birch",83.101067968229,0.0700946625197646,0.434093693698318,0.01039500061559,-0.0357961768196143,0.0770628473362529
